Id,Year,Total,White,Black or African American,Hispanic,Asian
1500000US220710063001,2000,1099,365,617,184,8
1500000US220710063002,2000,646,83,489,81,17
1500000US220710063003,2000,749,126,554,108,4
1500000US220710064001,2000,723,333,292,133,7
1500000US220710064002,2000,949,342,500,139,20
1500000US220710064003,2000,598,109,426,53,19
1500000US220710064004,2000,923,200,678,75,10
1500000US220710065001,2000,963,533,363,166,4
1500000US220710065002,2000,1082,657,291,219,10
1500000US220710065003,2000,1267,268,828,183,41
1500000US220710067001,2000,643,367,239,43,12
1500000US220710068001,2000,601,0,601,6,0
1500000US220710068002,2000,819,16,798,6,2
1500000US220710068003,2000,518,6,508,1,2
1500000US220710069001,2000,1121,2,1108,7,0
1500000US220710069002,2000,1580,8,1565,12,0
1500000US220710069003,2000,1638,4,1621,19,0
1500000US220710070001,2000,702,38,650,7,1
1500000US220710070002,2000,1470,7,1453,9,1
1500000US220710071001,2000,0,0,0,0,0
1500000US220710071002,2000,6576,685,5778,141,76
1500000US220710071003,2000,1032,133,842,67,8
1500000US220710072001,2000,1058,79,935,26,23
1500000US220710072002,2000,836,18,803,1,0
1500000US220710072003,2000,682,11,665,20,0
1500000US220710075011,2000,682,74,585,13,0
1500000US220710075012,2000,865,11,843,21,5
1500000US220710075013,2000,540,1,539,3,0
1500000US220710075014,2000,509,3,499,4,0
1500000US220710075015,2000,504,5,493,2,1
1500000US220710075021,2000,594,16,564,21,0
1500000US220710075022,2000,606,13,582,5,0
1500000US220710075023,2000,785,19,756,6,1
1500000US220710075024,2000,766,23,740,6,1
1500000US220710075025,2000,1068,45,994,24,0
1500000US220710076031,2000,1911,1814,27,101,23
1500000US220710076032,2000,1101,1052,10,53,20
1500000US220710076033,2000,1712,1594,44,89,35
1500000US220710076041,2000,1186,1140,11,36,19
1500000US220710076042,2000,776,746,22,10,4
1500000US220710076051,2000,691,17,666,13,0
1500000US220710076052,2000,1081,43,1024,14,1
1500000US220710077001,2000,831,695,88,43,27
1500000US220710077002,2000,797,174,608,23,3
1500000US220710078001,2000,1186,782,330,99,13
1500000US220710079001,2000,847,416,392,36,10
1500000US220710080001,2000,425,1,393,9,0
1500000US220710080002,2000,445,5,436,0,1
1500000US220710081011,2000,773,72,673,38,4
1500000US220710081012,2000,1778,9,1752,12,0
1500000US220710081021,2000,406,59,345,8,0
1500000US220710082001,2000,923,669,147,93,9
1500000US220710082002,2000,963,586,312,90,25
1500000US220710083001,2000,702,607,52,27,16
1500000US220710083002,2000,714,132,568,30,0
1500000US220710084001,2000,532,181,315,39,13
1500000US220710084002,2000,707,238,430,28,24
1500000US220710085001,2000,898,3,890,9,2
1500000US220710085002,2000,880,12,856,4,1
1500000US220710086001,2000,870,4,859,4,2
1500000US220710086002,2000,729,4,716,15,3
1500000US220710087001,2000,768,76,680,15,1
1500000US220710088001,2000,862,370,448,34,2
1500000US220710088002,2000,1105,313,763,37,3
1500000US220710089001,2000,972,319,608,59,3
1500000US220710089002,2000,563,102,439,21,1
1500000US220710090001,2000,527,491,18,13,4
1500000US220710090002,2000,687,643,16,50,5
1500000US220710090003,2000,756,698,24,37,8
1500000US220710091001,2000,884,254,592,26,17
1500000US220710091002,2000,591,281,273,19,7
1500000US220710091003,2000,628,4,613,11,0
1500000US220710091004,2000,466,139,311,13,7
1500000US220710092001,2000,528,2,521,2,1
1500000US220710092002,2000,557,3,553,1,0
1500000US220710092003,2000,865,26,834,4,0
1500000US220710093011,2000,653,3,644,6,1
1500000US220710093012,2000,537,0,531,6,0
1500000US220710093021,2000,1128,2,1123,2,1
1500000US220710093022,2000,1131,4,1121,5,1
